"","Assemblage","t","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"188","BRUV",88,"Extrapolation",0,39.6152508273667,26.6274309951021,52.6030706596312,0.999293607518069,0.987472299895144,1
"189","BRUV",89,"Extrapolation",0,39.6196969447529,26.5769257693161,52.6624681201898,0.999341614774122,0.987761942736228,1
"190","BRUV",90,"Extrapolation",0,39.6238408988217,26.5272898280721,52.7203919695713,0.999386359401124,0.988042593748714,1
"191","BRUV",91,"Extrapolation",0,39.627703224944,26.4785161732593,52.7768902766288,0.999428063131144,0.988314639216244,1
"192","BRUV",92,"Extrapolation",0,39.6313030628833,26.4305971054984,52.8320090202682,0.999466932627086,0.988578444852909,1
"193","BRUV",93,"Extrapolation",0,39.6346582516422,26.383524303766,52.8857921995185,0.999503160506799,0.988834357009665,1
"194","BRUV",94,"Extrapolation",0,39.6377854178642,26.3372888984379,52.9382819372904,0.999536926297599,0.989082703808055,1
"195","BRUV",95,"Extrapolation",0,39.6407000582263,26.2918815382629,52.9895185781898,0.999568397325917,0.989323796205543,1
"196","BRUV",96,"Extrapolation",0,39.6434166162338,26.2472924517373,53.0395407807303,0.999597729546486,0.989557928996527,1
"197","BRUV",97,"Extrapolation",0,39.6459485537941,26.203511503314,53.0883856042743,0.999625068315171,0.989785381752846,1
"198","BRUV",98,"Extrapolation",0,39.6483084179281,26.1605282448475,53.1360885910087,0.999650549109286,0.990006419707438,1
"199","BRUV",99,"Extrapolation",0,39.6505079029461,26.1183319626448,53.1826838432474,0.999674298198946,0.990221294584529,1
"200","BRUV",100,"Extrapolation",0,39.6525579083998,26.0769117204642,53.2282040963354,0.999696433272804,0.9904302453796,1
"201","Seine",1,"Rarefaction",0,4.17647058823529,3.32984023312047,5.02310094335012,0.357394366197183,0.283969104779706,0.43081962761466
"202","Seine",2,"Rarefaction",0,6.86029411764707,5.44103621377685,8.27955202151729,0.485211267605634,0.417331644396114,0.553090890815154
"203","Seine",3,"Rarefaction",0,9.01029411764706,7.12838037472886,10.8922078605653,0.555684104627768,0.489431038758642,0.621937170496895
"204","Seine",4,"Rarefaction",0,10.8659663865546,8.58683267258762,13.1451001005217,0.606740442655937,0.539799068271447,0.673681817040427
"205","Seine",5,"Rarefaction",0,12.5084033613446,9.87860436282822,15.1382023598609,0.647790589691998,0.579812048226364,0.715769131157632
"206","Seine",6,"Rarefaction",0,13.9793956043957,11.0345732633549,16.9242179454364,0.682227983284321,0.613831754517167,0.750624212051475
"207","Seine",7,"Rarefaction",0,15.3065610859729,12.075425723782,18.5376964481638,0.711646803900325,0.643618383578799,0.779675224221851
"208","Seine",8,"Rarefaction",0,16.5108597285068,13.0175084917534,20.0042109652602,0.73694474539545,0.669897733163097,0.803991757627803
"209","Seine",9,"Rarefaction",0,17.6095022624435,13.8747295418226,21.3442749830643,0.758748645720477,0.69302449378954,0.824472797651413
"210","Seine",10,"Rarefaction",0,18.6170814479639,14.6590355877305,22.5751273081973,0.777549914873859,0.713208612669166,0.841891217078552
"211","Seine",11,"Rarefaction",0,19.5461376858436,15.3805718943982,23.7117034772891,0.793743228602383,0.730588856655467,0.8568976005493
"212","Seine",12,"Rarefaction",0,20.4075630252101,16.0478462933636,24.7672797570566,0.807645875251509,0.745268897901438,0.87002285260158
"213","Seine",13,"Rarefaction",0,21.2109243697479,16.6679232655296,25.7539254739663,0.819517102615694,0.757345358220766,0.881688847010622
"214","Seine",14,"Rarefaction",0,21.9647058823529,17.2466143504703,26.6827974142355,0.829577464788732,0.766928360979673,0.892226568597792
"215","Seine",15,"Rarefaction",0,22.6764705882353,17.7886370865504,27.5643040899202,0.838028169014085,0.774154879535555,0.901901458492614
"216","Seine",16,"Rarefaction",0,23.3529411764706,18.297717090144,28.4081652627972,0.845070422535211,0.779197741829315,0.910943103241108
