New_name	Location	Site	Bio_rep	Tech_rep	Sample_date	eDNA_label	Extraction_date	Volume	Sample_Control	Technical_rep	Control_Type	K
SCA_1	Mainland	Santa_Claus	A	1	NA	SCA	11/27/18	1150	Sample	SCA_1	NA	3
SCA_2	Mainland	Santa_Claus	A	2	NA	SCA	11/27/18	1150	Sample	SCA_2	NA	3
SCA_3	Mainland	Santa_Claus	A	3	NA	SCA	11/27/18	1150	Sample	SCA_3	NA	3
SCAR_1	Santa_Rosa_Island	Soledad	A	1	9/11/18	SCAR	9/27/18	1100	Sample	SCAR_1	NA	3
SCAR_2	Santa_Rosa_Island	Soledad	A	2	9/11/18	SCAR	9/27/18	1100	Sample	SCAR_2	NA	3
SCAR_3	Santa_Rosa_Island	Soledad	A	3	9/11/18	SCAR	9/27/18	1100	Sample	SCAR_3	NA	3
SCB_1	Mainland	Santa_Claus	B	1	NA	SCB	11/27/18	800	Sample	SCB_1	NA	3
SCB_2	Mainland	Santa_Claus	B	2	NA	SCB	11/27/18	800	Sample	SCB_2	NA	3
SCB_3	Mainland	Santa_Claus	B	3	NA	SCB	11/27/18	800	Sample	SCB_3	NA	3
SCBR_1	Santa_Rosa_Island	Soledad	B	1	9/11/18	SCBR	9/27/18	1200	Sample	SCBR_1	NA	3
SCBR_2	Santa_Rosa_Island	Soledad	B	2	9/11/18	SCBR	9/27/18	1200	Sample	SCBR_2	NA	3
SCBR_3	Santa_Rosa_Island	Soledad	B	3	9/11/18	SCBR	9/27/18	1200	Sample	SCBR_3	NA	3
SCC_1	Mainland	Santa_Claus	C	1	NA	SCC	11/27/18	1150	Sample	SCC_1	NA	3
SCC_2	Mainland	Santa_Claus	C	2	NA	SCC	11/27/18	1150	Sample	SCC_2	NA	3
SCC_3	Mainland	Santa_Claus	C	3	NA	SCC	11/27/18	1150	Sample	SCC_3	NA	3
SCCR_1	Santa_Rosa_Island	Soledad	C	1	9/11/18	SCCR	9/27/18	1100	Sample	SCCR_1	NA	3
SCCR_2	Santa_Rosa_Island	Soledad	C	2	9/11/18	SCCR	9/27/18	1100	Sample	SCCR_2	NA	3
SCCR_3	Santa_Rosa_Island	Soledad	C	3	9/11/18	SCCR	9/27/18	1100	Sample	SCCR_3	NA	3
SMA_1	Mainland	Santa_Monica	A	1	8/15/18	SMA	9/27/18	1000	Sample	SMA_1	NA	3
SMA_2	Mainland	Santa_Monica	A	2	8/15/18	SMA	9/27/18	1000	Sample	SMA_2	NA	3
SMA_3	Mainland	Santa_Monica	A	3	8/15/18	SMA	9/27/18	1000	Sample	SMA_3	NA	3
SMB_1	Mainland	Santa_Monica	B	1	8/15/18	SMB	9/27/18	1000	Sample	SMB_1	NA	3
SMB_2	Mainland	Santa_Monica	B	2	8/15/18	SMB	9/27/18	1000	Sample	SMB_2	NA	3
SMB_3	Mainland	Santa_Monica	B	3	8/15/18	SMB	9/27/18	1000	Sample	SMB_3	NA	3
SMC_1	Mainland	Santa_Monica	C	1	8/15/18	SMC	9/27/18	1250	Sample	SMC_1	NA	3
SMC_2	Mainland	Santa_Monica	C	2	8/15/18	SMC	9/27/18	1250	Sample	SMC_2	NA	3
SMC_3	Mainland	Santa_Monica	C	3	8/15/18	SMC	9/27/18	1250	Sample	SMC_3	NA	3
SPA_1	Santa_Rosa_Island	Sandy_Point	A	1	9/10/18	SPA	9/27/18	1250	Sample	SPA_1	NA	3
